station_id,station_type,timestamp,pm25,pm10,no2,o3,so2,co,temperature,humidity
ST001,urban,2025-11-01 00:00:00,26.54,50.37,15.37,55.26,9.71,1.02,14.6,75.2
ST001,urban,2025-11-01 01:00:00,22.36,40.07,17.4,33.29,10.52,0.64,17.0,77.9
ST001,urban,2025-11-01 02:00:00,23.1,39.45,19.2,54.07,12.51,0.75,14.4,62.0
ST001,urban,2025-11-01 03:00:00,24.99,72.01,21.5,33.91,14.41,0.9,23.0,74.9
ST001,urban,2025-11-01 04:00:00,30.21,24.37,18.93,40.51,6.4,0.92,29.3,71.1
ST001,urban,2025-11-01 05:00:00,25.97,40.48,28.38,38.87,9.0,0.98,19.8,68.8
ST001,urban,2025-11-01 06:00:00,33.07,54.43,20.1,54.01,8.6,0.71,33.9,92.7
ST001,urban,2025-11-01 07:00:00,53.48,39.74,29.21,46.22,5.44,1.1,12.1,81.5
ST001,urban,2025-11-01 08:00:00,41.71,92.71,42.02,37.06,10.29,1.45,19.7,80.2
ST001,urban,2025-11-01 09:00:00,,73.98,32.58,52.45,7.77,1.84,27.5,63.1
ST001,urban,2025-11-01 10:00:00,22.04,38.81,33.54,32.91,14.22,0.9,18.7,79.3
ST001,urban,2025-11-01 11:00:00,28.28,58.43,27.59,,8.39,0.88,24.5,56.6
ST001,urban,2025-11-01 12:00:00,28.4,43.23,16.82,50.78,8.25,0.69,28.2,85.0
ST001,urban,2025-11-01 13:00:00,,55.36,21.1,45.56,10.0,1.15,26.4,34.6
ST001,urban,2025-11-01 14:00:00,29.25,40.93,22.9,33.4,7.95,0.93,23.6,73.9
ST001,urban,2025-11-01 15:00:00,33.6,33.95,25.76,32.16,14.03,0.43,22.8,40.0
ST001,urban,2025-11-01 16:00:00,12.85,64.44,15.31,32.36,11.4,0.7,19.4,65.7
ST001,urban,2025-11-01 17:00:00,20.97,77.28,27.73,47.1,7.33,1.1,16.5,68.8
ST001,urban,2025-11-01 18:00:00,52.91,51.84,46.08,31.09,8.88,1.1,26.5,63.8
ST001,urban,2025-11-01 19:00:00,22.74,60.05,,26.64,7.41,0.79,20.2,78.9
ST001,urban,2025-11-01 20:00:00,19.37,66.41,25.65,46.23,11.1,1.0,25.4,57.2
ST001,urban,2025-11-01 21:00:00,29.88,49.98,32.62,41.79,5.79,0.73,16.9,52.2
ST001,urban,2025-11-01 22:00:00,14.35,55.66,24.54,45.02,16.58,0.59,13.7,74.7
ST001,urban,2025-11-01 23:00:00,44.32,51.58,25.38,35.64,7.68,0.76,13.9,56.4
ST002,industrial,2025-11-01 00:00:00,15.07,78.86,37.0,15.4,8.6,1.19,21.8,19.5
ST002,industrial,2025-11-01 01:00:00,47.9,65.49,,40.1,11.77,1.16,17.2,47.6
ST002,industrial,2025-11-01 02:00:00,38.51,58.58,17.9,52.99,15.82,0.67,25.5,52.1
ST002,industrial,2025-11-01 03:00:00,60.4,87.01,21.62,40.96,12.19,0.55,20.3,51.7
ST002,industrial,2025-11-01 04:00:00,48.25,54.53,35.61,36.44,12.59,0.49,32.5,50.8
ST002,industrial,2025-11-01 05:00:00,,55.39,26.73,51.45,7.17,1.01,16.9,69.9
ST002,industrial,2025-11-01 06:00:00,59.3,71.52,5.46,31.75,8.83,0.72,24.4,60.0
ST002,industrial,2025-11-01 07:00:00,66.85,107.17,41.94,60.56,13.3,1.51,21.5,61.0
ST002,industrial,2025-11-01 08:00:00,52.74,114.23,41.75,27.45,7.03,1.21,22.0,71.6
ST002,industrial,2025-11-01 09:00:00,41.23,108.54,30.32,27.85,10.92,0.87,14.8,75.0
ST002,industrial,2025-11-01 10:00:00,57.32,87.34,18.22,45.48,7.08,1.25,28.2,84.0
ST002,industrial,2025-11-01 11:00:00,33.6,90.9,26.83,44.93,9.63,1.07,23.7,59.6
ST002,industrial,2025-11-01 12:00:00,26.73,56.21,25.56,46.76,4.96,0.65,25.1,29.5
ST002,industrial,2025-11-01 13:00:00,45.54,76.9,22.18,45.8,12.55,0.97,26.4,60.0
ST002,industrial,2025-11-01 14:00:00,41.27,90.17,18.28,19.38,13.23,0.97,29.8,52.9
ST002,industrial,2025-11-01 15:00:00,34.09,63.89,8.49,35.3,11.27,0.85,27.2,81.1
ST002,industrial,2025-11-01 16:00:00,49.32,68.56,29.45,30.28,6.89,1.02,25.3,68.6
ST002,industrial,2025-11-01 17:00:00,65.4,110.96,24.16,33.52,10.9,1.01,21.2,80.1
ST002,industrial,2025-11-01 18:00:00,70.52,97.51,58.57,30.47,14.89,1.44,17.7,81.1
ST002,industrial,2025-11-01 19:00:00,57.31,86.01,36.62,55.38,11.46,1.29,21.3,61.6
ST002,industrial,2025-11-01 20:00:00,41.06,64.17,22.25,59.48,13.97,0.49,23.0,49.4
ST002,industrial,2025-11-01 21:00:00,41.45,46.27,27.48,37.98,10.22,0.77,24.1,68.0
ST002,industrial,2025-11-01 22:00:00,48.63,85.33,19.29,27.83,8.49,0.8,24.0,32.2
ST002,industrial,2025-11-01 23:00:00,32.13,76.1,20.84,52.44,6.9,0.86,25.4,67.3
ST003,residential,2025-11-01 00:00:00,17.16,23.74,24.68,24.16,9.34,0.88,17.6,65.7
